,Cluster,first_name,last_name,email,gender,University,Age,Class_Graduation_Year,Lease_Term,Major,Sports,Gaming,Coding,Outdoors,Movies,Art,Anime,Foodie,Music,Travel,Interest_1,Interest_2,Interest_3
28,2,Clovis,Vella,cvellas@addtoany.com,Female,CU,50,2022,12,Nursing,0,1,0,0,0,1,1,0,0,0,Gaming,Art,Anime
29,0,Silvana,Lowndsbrough,slowndsbrought@themeforest.net,Female,UW,27,2022,12,Other,1,0,0,1,0,0,0,1,0,0,Outdoors,Sports,Foodie
30,8,Dionysus,Barkworth,dbarkworthu@networkadvertising.org,Male,JHU,40,2026,6,Engineering,0,1,1,0,0,0,0,0,1,0,Music,Coding,Gaming
31,7,Fred,Gault,fgaultv@soup.io,Male,UTA,36,2023,12,Biology,0,1,0,0,0,1,0,0,0,1,Gaming,Travel,Art
32,4,Cory,Spray,csprayw@ihg.com,Female,UWM,40,2026,12,Business,0,0,0,0,1,0,0,1,1,0,Foodie,Music,Movies
33,3,Brendin,Gibbeson,bgibbesonx@blinklist.com,Male,CIT,31,2025,12,Computer Science,0,1,0,1,0,1,0,0,0,0,Art,Gaming,Outdoors
34,8,Laura,Gooder,lgoodery@t.co,Female,UMAA,36,2025,12,Computer Science,0,1,1,0,0,1,0,0,0,0,Gaming,Coding,Art
35,3,Electra,Menichelli,emenichelliz@buzzfeed.com,Bigender,UTA,35,2022,6,Business,0,0,0,1,1,0,1,0,0,0,Anime,Outdoors,Movies
36,0,Lionel,Wooderson,lwooderson10@umich.edu,Male,CIT,31,2022,12,Business,0,1,0,1,0,0,0,1,0,0,Outdoors,Foodie,Gaming
37,4,Jeanelle,Varfalameev,jvarfalameev11@instagram.com,Female,UIUC,43,2023,6,Business,0,1,0,0,1,0,0,1,0,0,Gaming,Movies,Foodie
38,7,Kaspar,Frissell,kfrissell12@shop-pro.jp,Bigender,UWM,33,2026,12,General Studies,0,1,0,1,0,0,1,0,0,0,Anime,Outdoors,Gaming
39,3,Rosemonde,Sisley,rsisley13@taobao.com,Female,PU,20,2023,12,Business,0,1,0,1,0,1,0,0,0,0,Outdoors,Gaming,Art
40,0,Donny,Kiss,dkiss14@archive.org,Male,UIUC,40,2023,6,Business,0,1,0,1,0,0,0,1,0,0,Gaming,Outdoors,Foodie
41,0,Olenolin,Andriulis,oandriulis15@diigo.com,Male,UCLA,39,2026,6,Nursing,0,0,0,1,0,0,0,0,1,1,Music,Travel,Outdoors
42,2,Chris,Hodgets,chodgets16@nsw.gov.au,Male,UCB,39,2023,12,Nursing,0,0,0,0,0,1,1,0,0,1,Art,Travel,Anime
43,1,Sondra,Sutherel,ssutherel17@scientificamerican.com,Female,UPenn,23,2025,6,Other,1,0,0,0,1,0,1,0,0,0,Sports,Movies,Anime
44,5,Albertine,Larway,alarway18@meetup.com,Female,UPenn,48,2023,6,Other,1,1,0,0,0,0,0,1,0,0,Foodie,Sports,Gaming
45,1,Nicolea,Gaymer,ngaymer19@japanpost.jp,Female,UW,18,2022,12,Accounting,1,0,0,1,1,0,0,0,0,0,Sports,Outdoors,Movies
46,0,Tonye,Stoving,tstoving1a@netscape.com,Female,GT,40,2025,12,Engineering,0,0,0,1,0,0,0,0,1,1,Music,Travel,Outdoors
47,5,Porty,Itzkovitch,pitzkovitch1b@behance.net,Male,UIUC,28,2025,6,Other,0,0,1,0,0,1,0,1,0,0,Coding,Foodie,Art
48,6,Henka,Banghe,hbanghe1c@xing.com,Female,UWM,24,2022,12,Computer Science,0,0,1,1,0,0,0,0,1,0,Music,Coding,Outdoors
49,7,Janos,Cusiter,jcusiter1d@about.me,Male,GT,50,2024,6,Other,0,1,0,1,0,0,1,0,0,0,Anime,Outdoors,Gaming
50,1,Christan,Andriveaux,candriveaux1e@hugedomains.com,Female,HU,19,2022,6,Nursing,0,0,1,1,1,0,0,0,0,0,Coding,Movies,Outdoors
51,1,Son,Jimenez,sjimenez1f@vk.com,Male,SU,48,2024,12,Computer Science,1,0,1,0,0,0,0,0,0,1,Travel,Coding,Sports
52,4,Marta,Leer,mleer1g@state.tx.us,Female,UMCP,43,2026,6,Engineering,0,1,0,0,0,0,0,1,1,0,Gaming,Music,Foodie
53,2,Lorelei,Pulsford,lpulsford1h@wikispaces.com,Female,PU,19,2024,6,Computer Science,0,0,0,0,0,0,1,0,1,1,Travel,Anime,Music
54,8,Etty,Waplinton,ewaplinton1i@tinyurl.com,Female,UCB,37,2026,12,Business,0,0,1,0,0,1,0,0,0,1,Coding,Art,Travel
55,0,Giuditta,McPeck,gmcpeck1j@is.gd,Female,PU,28,2024,6,Business,0,0,0,0,1,0,0,1,0,1,Movies,Travel,Foodie
56,1,Hersch,MacLaughlin,hmaclaughlin1k@mashable.com,Male,GT,29,2024,12,Liberal Arts,1,0,1,0,0,1,0,0,0,0,Coding,Art,Sports
57,5,Maryjo,Danilov,mdanilov1l@google.com.br,Female,GT,18,2026,12,Nursing,1,0,0,0,0,1,0,1,0,0,Foodie,Sports,Art
58,1,Lilla,Dupey,ldupey1m@lycos.com,Genderfluid,UTA,43,2025,12,Business,1,0,0,0,1,0,0,0,1,0,Sports,Movies,Music
59,0,Page,Morphet,pmorphet1n@typepad.com,Male,JHU,42,2025,12,Accounting,0,0,0,1,1,0,0,1,0,0,Outdoors,Foodie,Movies
60,3,Lesly,Wankel,lwankel1o@about.me,Female,GT,30,2024,6,Accounting,0,0,0,1,1,0,0,0,1,0,Outdoors,Music,Movies
61,2,Lindi,Lilleyman,llilleyman1p@hc360.com,Female,UW,47,2026,6,Nursing,0,1,0,0,0,0,1,0,1,0,Anime,Gaming,Music
62,0,Saundra,Batchley,sbatchley1q@blinklist.com,Female,UW,42,2023,12,Business,0,0,0,0,0,1,0,1,0,1,Art,Travel,Foodie
63,8,Briggs,Duligal,bduligal1r@trellian.com,Agender,UMCP,21,2024,6,Accounting,0,1,1,0,0,0,0,1,0,0,Coding,Foodie,Gaming
64,8,Nicolais,Carefull,ncarefull1s@ebay.com,Male,UTA,33,2022,6,Liberal Arts,0,1,1,0,1,0,0,0,0,0,Coding,Gaming,Movies
65,3,Linus,Plascott,lplascott1t@scientificamerican.com,Male,UMAA,24,2025,6,Computer Science,0,1,0,1,1,0,0,0,0,0,Outdoors,Movies,Gaming
66,0,Chelsea,Seeds,cseeds1u@ftc.gov,Female,UIUC,23,2022,6,Engineering,0,1,0,0,0,0,0,1,0,1,Travel,Foodie,Gaming
67,7,Celestyna,Van,cvan1v@devhub.com,Female,PU,43,2025,12,Liberal Arts,0,1,0,0,1,0,0,0,0,1,Movies,Gaming,Travel
68,4,Ambur,Hucquart,ahucquart1w@mashable.com,Female,UWM,19,2023,12,Engineering,0,0,0,0,1,0,0,1,1,0,Foodie,Music,Movies
69,2,Brose,Brinkman,bbrinkman1x@shareasale.com,Male,UMAA,36,2023,6,Engineering,0,0,0,0,0,1,1,1,0,0,Foodie,Art,Anime
70,7,Chicky,Chamley,cchamley1y@shareasale.com,Female,CMU,27,2022,6,Business,0,1,0,0,1,0,1,0,0,0,Gaming,Anime,Movies
71,1,Patrice,Gerald,pgerald1z@google.com.br,Female,UCLA,35,2024,12,Engineering,0,0,1,0,1,0,0,0,1,0,Music,Movies,Coding
72,2,Michaelina,Guisler,mguisler20@slideshare.net,Genderqueer,UCSA,47,2023,12,Engineering,1,0,0,0,0,1,0,0,1,0,Music,Sports,Art
73,2,Bertha,Sinyard,bsinyard21@issuu.com,Female,MIT,26,2023,12,Engineering,0,0,0,0,0,1,1,0,0,1,Travel,Art,Anime
74,5,Danila,Nilles,dnilles22@istockphoto.com,Bigender,CU,35,2025,6,Business,1,1,0,0,0,1,0,0,0,0,Art,Gaming,Sports
75,3,Neville,Cunnell,ncunnell23@whitehouse.gov,Male,GT,46,2024,6,Computer Science,0,0,0,0,1,1,0,0,0,1,Movies,Travel,Art
76,3,Pacorro,Nortunen,pnortunen24@shinystat.com,Male,HU,28,2023,6,Accounting,0,0,0,1,1,0,0,0,1,0,Outdoors,Movies,Music
77,3,Hermine,Hovee,hhovee25@cornell.edu,Female,UWM,36,2024,6,Biology,0,0,0,1,1,0,1,0,0,0,Outdoors,Movies,Anime
78,4,Julietta,Lusted,jlusted26@apache.org,Female,UIUC,44,2023,6,Business,0,0,1,0,0,0,0,1,1,0,Foodie,Music,Coding
79,1,Gavin,Cusiter,gcusiter27@vinaora.com,Male,GT,18,2024,6,Accounting,1,0,1,0,0,0,1,0,0,0,Coding,Anime,Sports
80,1,Genovera,Parkisson,gparkisson28@feedburner.com,Bigender,CU,29,2026,6,Other,1,0,1,0,0,0,0,1,0,0,Coding,Foodie,Sports
81,7,Meggi,Mattessen,mmattessen29@google.de,Female,CU,46,2025,12,Computer Science,0,0,1,0,0,0,1,0,0,1,Travel,Anime,Coding
82,1,Arlin,Vanetti,avanetti2a@newsvine.com,Male,UW,29,2025,12,Accounting,1,0,1,1,0,0,0,0,0,0,Coding,Outdoors,Sports
83,7,Buiron,Danks,bdanks2b@miibeian.gov.cn,Male,GT,44,2025,12,Nursing,0,1,0,1,0,0,1,0,0,0,Gaming,Anime,Outdoors
84,4,Wake,Bagnell,wbagnell2c@nationalgeographic.com,Male,UW,50,2025,6,Engineering,0,1,0,0,1,0,0,1,0,0,Movies,Foodie,Gaming
85,5,Jeramie,Crippin,jcrippin2d@nyu.edu,Male,UWM,43,2025,6,Biology,0,0,1,0,0,1,0,1,0,0,Foodie,Coding,Art
86,0,Nataniel,Davydenko,ndavydenko2e@ustream.tv,Polygender,CIT,19,2024,6,Biology,0,0,0,1,0,0,1,0,0,1,Anime,Outdoors,Travel
87,1,Bartolomeo,Pettwood,bpettwood2f@angelfire.com,Male,UCB,41,2022,6,Nursing,1,0,1,0,0,0,1,0,0,0,Anime,Coding,Sports
88,0,Pattin,Leathers,pleathers2g@paginegialle.it,Male,UMCP,45,2026,6,Biology,0,0,1,1,0,0,0,0,0,1,Outdoors,Coding,Travel
89,4,Iain,Larn,ilarn2h@dagondesign.com,Male,UPenn,46,2022,12,Engineering,0,0,0,0,1,0,1,1,0,0,Foodie,Movies,Anime
90,0,Justinian,MacVanamy,jmacvanamy2i@cyberchimps.com,Polygender,UCLA,28,2022,12,Business,0,0,0,0,0,1,0,1,0,1,Travel,Art,Foodie
91,1,Rock,Pert,rpert2j@sitemeter.com,Male,GT,23,2022,6,Nursing,1,1,0,0,1,0,0,0,0,0,Sports,Movies,Gaming
92,5,Mariette,Verring,mverring2k@blinklist.com,Bigender,UCLA,34,2023,12,Biology,1,0,0,0,0,1,0,0,0,1,Art,Travel,Sports
93,6,Ronna,Cuppleditch,rcuppleditch2l@google.co.uk,Female,CIT,33,2022,6,Engineering,1,1,0,1,0,0,0,0,0,0,Gaming,Sports,Outdoors
94,1,Rasla,Georgeou,rgeorgeou2m@drupal.org,Female,CMU,47,2022,6,Engineering,1,0,0,0,1,0,0,0,1,0,Movies,Sports,Music
95,0,Owen,Younger,oyounger2n@i2i.jp,Male,UTA,50,2022,6,Nursing,1,0,0,1,0,0,0,0,0,1,Travel,Outdoors,Sports
96,7,Fitz,Halvorsen,fhalvorsen2o@hostgator.com,Male,CIT,48,2022,6,Biology,0,1,0,0,1,0,0,0,0,1,Movies,Travel,Gaming
97,1,Cora,Beek,cbeek2p@ca.gov,Female,MIT,24,2026,12,Liberal Arts,1,0,1,0,0,0,0,0,0,1,Coding,Travel,Sports
98,8,Afton,Morrowe,amorrowe2q@kickstarter.com,Female,GT,28,2022,12,Nursing,0,1,1,1,0,0,0,0,0,0,Coding,Outdoors,Gaming
99,3,Raeann,Huccaby,rhuccaby2r@tamu.edu,Female,UWM,29,2024,6,Engineering,0,1,0,1,1,0,0,0,0,0,Outdoors,Gaming,Movies
100,8,Rriocard,Darthe,rdarthe2s@storify.com,Male,UMAA,25,2022,12,Liberal Arts,0,1,1,1,0,0,0,0,0,0,Coding,Outdoors,Gaming
101,1,Betti,Liven,bliven2t@dedecms.com,Female,SU,40,2023,12,Nursing,1,0,0,1,1,0,0,0,0,0,Movies,Outdoors,Sports
102,0,Kile,Biasetti,kbiasetti2u@youtube.com,Male,GT,22,2024,12,Nursing,1,0,0,1,0,0,0,0,0,1,Outdoors,Travel,Sports
103,7,Terry,Scates,tscates2v@techcrunch.com,Male,UCSA,23,2025,12,Computer Science,1,1,0,0,0,0,0,0,0,1,Travel,Gaming,Sports
104,1,Hyman,Daish,hdaish2w@dailymail.co.uk,Male,UTA,29,2022,6,Biology,1,0,1,0,1,0,0,0,0,0,Movies,Sports,Coding
105,0,Siouxie,Leete,sleete2x@163.com,Female,PU,49,2023,6,Biology,1,0,0,1,0,0,0,1,0,0,Outdoors,Foodie,Sports
106,5,Jobina,Helliwell,jhelliwell2y@time.com,Non-binary,HU,22,2022,12,Business,1,0,0,0,0,1,0,0,0,1,Sports,Art,Travel
107,1,Erna,Lebel,elebel2z@google.pl,Female,HU,33,2026,12,Business,1,0,1,0,0,0,0,0,1,0,Sports,Coding,Music
108,2,Norine,Pendre,npendre30@aboutads.info,Female,CU,37,2023,12,Computer Science,0,0,1,0,0,0,1,0,1,0,Coding,Anime,Music
109,2,Emile,Dable,edable31@csmonitor.com,Male,UMAA,27,2023,6,Other,0,1,0,0,0,1,1,0,0,0,Anime,Art,Gaming
110,1,Maury,Deroche,mderoche32@facebook.com,Male,UMCP,34,2025,12,Biology,1,0,0,1,1,0,0,0,0,0,Movies,Outdoors,Sports
111,8,Naoma,Cordes,ncordes33@examiner.com,Female,UMAA,31,2024,6,Nursing,0,1,1,0,0,0,0,1,0,0,Coding,Gaming,Foodie
112,3,Dimitri,De Blasi,ddeblasi34@examiner.com,Male,UPenn,30,2026,12,Computer Science,0,1,0,1,1,0,0,0,0,0,Movies,Outdoors,Gaming
113,7,Ajay,McNeilly,amcneilly35@addtoany.com,Female,UCB,31,2024,12,Other,0,1,0,0,0,0,0,0,1,1,Music,Gaming,Travel
114,0,Casey,McClure,cmcclure36@xrea.com,Female,UPenn,43,2025,6,General Studies,0,1,0,1,0,0,0,1,0,0,Gaming,Foodie,Outdoors
115,8,Candra,Seally,cseally37@zdnet.com,Female,UCB,37,2024,12,Engineering,1,1,1,0,0,0,0,0,0,0,Sports,Gaming,Coding
116,3,Alta,Tackle,atackle38@nationalgeographic.com,Female,UIUC,19,2025,12,Liberal Arts,0,0,0,1,1,0,0,0,1,0,Outdoors,Movies,Music
117,0,Lucy,McGivena,lmcgivena39@github.io,Female,UMAA,28,2024,12,Biology,0,0,0,1,0,0,0,1,0,1,Outdoors,Foodie,Travel
118,2,Eimile,Clampe,eclampe3a@nature.com,Genderfluid,UCSA,30,2025,6,Nursing,0,0,0,0,0,1,0,0,1,1,Music,Travel,Art
119,6,Jolee,Petraitis,jpetraitis3b@salon.com,Polygender,UCB,18,2024,6,Computer Science,1,0,0,1,0,0,0,0,1,0,Outdoors,Music,Sports
120,3,Gary,Aulton,gaulton3c@china.com.cn,Male,UMCP,19,2022,6,Engineering,0,1,0,1,0,1,0,0,0,0,Outdoors,Gaming,Art
121,1,Junette,Kelsow,jkelsow3d@histats.com,Female,PU,28,2025,12,Biology,1,0,1,0,0,1,0,0,0,0,Coding,Sports,Art
122,0,Jordon,Circuitt,jcircuitt3e@psu.edu,Male,UW,46,2025,6,Liberal Arts,0,0,0,0,0,0,1,1,0,1,Anime,Travel,Foodie
123,5,Timmy,Dimmock,tdimmock3f@printfriendly.com,Male,PU,29,2025,12,Liberal Arts,1,0,0,0,0,0,1,1,0,0,Sports,Anime,Foodie
124,1,Alayne,Bayly,abayly3g@4shared.com,Female,UPenn,35,2025,12,Nursing,1,0,1,0,0,0,1,0,0,0,Anime,Coding,Sports
125,0,Cicely,Kenan,ckenan3h@mapquest.com,Polygender,UPenn,26,2025,6,Engineering,0,0,0,0,0,1,0,1,0,1,Foodie,Travel,Art
126,1,Farr,Oloshkin,foloshkin3i@github.com,Male,CIT,18,2026,6,Business,0,0,1,1,1,0,0,0,0,0,Movies,Outdoors,Coding
127,8,Carolann,McGaugie,cmcgaugie3j@washington.edu,Female,UW,45,2023,12,Engineering,0,1,1,0,0,1,0,0,0,0,Coding,Art,Gaming
128,1,Aland,Pointing,apointing3k@state.gov,Bigender,UMAA,46,2022,6,Nursing,1,0,1,0,0,0,0,0,1,0,Music,Coding,Sports
129,0,Chen,O'Hoolahan,cohoolahan3l@bravesites.com,Non-binary,HU,28,2022,12,Computer Science,0,0,0,1,0,1,0,0,0,1,Art,Outdoors,Travel
130,7,Concordia,Barkess,cbarkess3m@china.com.cn,Female,CIT,40,2026,12,Computer Science,1,0,0,0,0,0,1,0,0,1,Travel,Sports,Anime
131,2,Ninette,Dreghorn,ndreghorn3n@g.co,Female,GT,18,2023,12,Business,0,0,0,0,1,1,1,0,0,0,Anime,Movies,Art
132,0,Vittorio,Blais,vblais3o@chronoengine.com,Male,CIT,41,2022,6,Liberal Arts,0,0,0,1,0,0,0,1,0,1,Outdoors,Travel,Foodie
133,2,Dante,Iacobassi,diacobassi3p@comsenz.com,Male,UMCP,48,2023,6,Liberal Arts,1,0,0,0,0,1,1,0,0,0,Sports,Anime,Art
134,4,Caryl,Wintle,cwintle3q@craigslist.org,Female,HU,31,2023,6,Computer Science,0,1,0,0,1,0,0,1,0,0,Foodie,Gaming,Movies
135,1,Silvano,Speechley,sspeechley3r@mayoclinic.com,Male,UCSA,40,2025,6,Computer Science,0,0,1,0,1,1,0,0,0,0,Art,Coding,Movies
136,5,Cinda,Cumberpatch,ccumberpatch3s@taobao.com,Female,UIUC,22,2023,12,Liberal Arts,1,0,0,0,0,1,0,1,0,0,Sports,Art,Foodie
137,5,Avril,Truder,atruder3t@tinypic.com,Female,UMCP,24,2026,12,Accounting,1,0,0,0,0,1,0,1,0,0,Foodie,Art,Sports
138,5,Damien,Mallindine,dmallindine3u@homestead.com,Male,UCB,45,2022,12,Engineering,1,0,0,0,0,1,0,0,0,1,Art,Travel,Sports
139,4,Amara,Krystek,akrystek3v@goo.ne.jp,Female,UMCP,26,2022,6,Nursing,0,0,0,0,1,0,0,1,1,0,Music,Movies,Foodie
140,7,Janna,Bradane,jbradane3w@tmall.com,Female,CMU,41,2025,12,Engineering,1,1,0,0,0,0,0,0,0,1,Gaming,Sports,Travel
141,2,Bibby,Andreu,bandreu3x@barnesandnoble.com,Female,UMCP,21,2022,12,General Studies,0,0,0,0,1,0,1,0,1,0,Anime,Movies,Music
142,7,Kariotta,Edger,kedger3y@rambler.ru,Non-binary,GT,29,2023,6,Biology,0,1,0,1,0,0,1,0,0,0,Gaming,Anime,Outdoors
143,0,Evvy,Karchowski,ekarchowski3z@tinyurl.com,Female,JHU,47,2025,12,Engineering,0,1,0,1,0,0,0,0,0,1,Outdoors,Travel,Gaming
144,2,Emmanuel,Heaselgrave,eheaselgrave40@google.it,Male,PU,50,2023,12,Computer Science,0,0,0,0,1,0,1,0,1,0,Music,Movies,Anime
145,2,Devlin,Dovermann,ddovermann41@addtoany.com,Male,GT,42,2024,12,Computer Science,1,0,0,0,0,1,1,0,0,0,Anime,Sports,Art
146,3,Desiree,McCandless,dmccandless42@joomla.org,Agender,JHU,44,2026,12,Liberal Arts,0,1,0,0,1,1,0,0,0,0,Art,Movies,Gaming
147,7,Bessie,Ellsom,bellsom43@photobucket.com,Female,UMAA,24,2026,6,Business,0,1,0,1,0,0,1,0,0,0,Outdoors,Anime,Gaming
148,0,Carlotta,Grewes,cgrewes44@amazon.com,Female,UCLA,32,2026,12,Accounting,1,0,0,1,0,0,0,1,0,0,Sports,Foodie,Outdoors
149,3,Tiebold,MacLoughlin,tmacloughlin45@google.ru,Non-binary,CU,22,2025,12,Liberal Arts,0,1,0,0,1,1,0,0,0,0,Art,Movies,Gaming
150,5,Antonio,Kilgrove,akilgrove46@liveinternet.ru,Male,CU,47,2025,6,Business,0,0,1,0,0,1,0,1,0,0,Coding,Art,Foodie
151,1,Reeta,Dorken,rdorken47@ucoz.ru,Female,UWM,26,2025,6,Nursing,1,0,1,0,1,0,0,0,0,0,Sports,Coding,Movies
152,2,Madelene,Bambrough,mbambrough48@plala.or.jp,Female,JHU,21,2024,12,Business,0,1,0,0,0,1,0,0,1,0,Gaming,Art,Music
153,6,Hansiain,Allott,hallott49@comsenz.com,Male,MIT,29,2022,6,Engineering,1,0,0,1,0,0,0,0,1,0,Outdoors,Sports,Music
154,2,Leese,Prinn,lprinn4a@va.gov,Female,UMAA,48,2024,6,Business,1,0,0,0,0,1,0,0,1,0,Art,Sports,Music
155,4,Colleen,Bigly,cbigly4b@imdb.com,Female,HU,50,2022,6,Other,0,0,0,0,1,0,0,0,1,1,Music,Travel,Movies
156,4,Murvyn,Beadon,mbeadon4c@plala.or.jp,Male,UMAA,30,2025,12,Computer Science,0,1,0,0,0,0,0,1,1,0,Music,Foodie,Gaming
157,6,Katharine,Comini,kcomini4d@blog.com,Female,UCB,32,2022,6,Accounting,1,0,0,0,0,0,0,0,1,1,Music,Travel,Sports
158,8,Carolin,Peake,cpeake4e@nsw.gov.au,Female,HU,43,2026,12,Nursing,0,1,1,0,0,0,0,1,0,0,Gaming,Coding,Foodie
159,2,Rosalyn,Brandenburg,rbrandenburg4f@guardian.co.uk,Female,MIT,23,2022,12,Liberal Arts,0,0,0,0,1,1,0,0,1,0,Music,Art,Movies
160,0,Franklin,Badman,fbadman4g@usgs.gov,Genderfluid,UMAA,31,2023,12,Engineering,0,0,0,1,0,0,1,1,0,0,Outdoors,Anime,Foodie
161,0,Clementina,Wretham,cwretham4h@yandex.ru,Female,UMAA,47,2026,12,Accounting,1,0,0,1,0,0,0,1,0,0,Outdoors,Foodie,Sports
162,1,Duff,Blewett,dblewett4i@elegantthemes.com,Male,CMU,24,2026,6,Business,1,1,0,0,1,0,0,0,0,0,Movies,Gaming,Sports
163,0,Gayle,Beswetherick,gbeswetherick4j@scribd.com,Female,UCB,24,2025,6,Engineering,0,0,0,1,0,0,1,0,0,1,Outdoors,Anime,Travel
164,3,Verla,Hanse,vhanse4k@un.org,Polygender,UCB,19,2026,6,Engineering,1,0,0,1,0,1,0,0,0,0,Art,Outdoors,Sports
165,3,Lutero,Brockington,lbrockington4l@bloglines.com,Male,UTA,21,2024,6,Accounting,0,1,0,1,0,1,0,0,0,0,Outdoors,Art,Gaming
166,0,Jacynth,Kyne,jkyne4m@shutterfly.com,Female,UMCP,38,2025,12,Nursing,0,0,0,0,1,0,0,1,0,1,Travel,Foodie,Movies
167,0,Darci,Zecchetti,dzecchetti4n@parallels.com,Female,GT,46,2022,12,Business,0,0,0,0,0,0,1,1,0,1,Travel,Anime,Foodie
168,1,Jilly,Skoate,jskoate4o@netscape.com,Female,SU,23,2022,6,Computer Science,1,0,1,0,0,0,1,0,0,0,Sports,Anime,Coding
169,6,Sawyer,Winwright,swinwright4p@ucoz.ru,Male,UCSA,25,2024,6,Engineering,0,0,1,1,0,0,0,0,1,0,Outdoors,Music,Coding
170,2,Brockie,Butteris,bbutteris4q@phoca.cz,Male,PU,25,2023,12,Business,0,0,0,0,1,1,1,0,0,0,Movies,Anime,Art
